time_epoch_braclet acc_x acc_y acc_z gyro_x gyro_y gyro_z quat_w quat_x quat_y quat_z rssi-inCollision acc_x-inCollision acc_y-inCollision acc_z-inCollision gyro_x-inCollision gyro_y-inCollision gyro_z-inCollision quat_w-inCollision quat_x-inCollision quat_y-inCollision quat_z-inCollision bracelets-distance
1595876263.814000 958 -165 -355 -1316 -1035 -945 -4.379842e-01 6.610657e-01 4.932816e-01 3.575406e-01 69 -954 92 183 -41 14 5 -7.410974e-01 -2.353543e-01 -5.929633e-01 2.092309e-01 3.090570
1595876263.868000 958 -165 -355 -1316 -1035 -945 -4.379842e-01 6.610657e-01 4.932816e-01 3.575406e-01 68 -954 92 183 -41 14 5 -7.410974e-01 -2.353543e-01 -5.929633e-01 2.092309e-01 3.093031
1595876263.914000 922 -179 -377 -1233 -687 -668 -3.527829e-01 6.844477e-01 5.100094e-01 3.833615e-01 68 -960 90 183 -32 -2 8 -7.413582e-01 -2.338336e-01 -5.937091e-01 2.078928e-01 3.093591
1595876263.968000 1164 -179 -377 -1233 -687 -668 -3.527829e-01 6.844477e-01 5.100094e-01 3.833615e-01 69 -960 90 183 -32 -2 8 -7.413582e-01 -2.338336e-01 -5.937091e-01 2.078928e-01 3.088605
1595876264.014000 1164 -267 -590 -998 -781 -170 -2.824070e-01 7.123347e-01 5.055495e-01 3.965417e-01 71 -959 99 177 -5 -18 -9 -7.418384e-01 -2.329155e-01 -5.936416e-01 2.074023e-01 3.078738
1595876264.068000 1164 -267 -590 -998 -781 -170 -2.824070e-01 7.123347e-01 5.055495e-01 3.965417e-01 71 -959 99 177 -5 -18 -9 -7.418384e-01 -2.329155e-01 -5.936416e-01 2.074023e-01 3.055315
1595876264.114000 758 -210 -231 168 482 419 -2.691070e-01 7.243122e-01 4.887749e-01 4.050338e-01 66 -925 90 165 23 -23 8 -7.421499e-01 -2.320630e-01 -5.935856e-01 2.074040e-01 3.038016
1595876264.168000 758 -210 -231 168 482 419 -2.691070e-01 7.243122e-01 4.887749e-01 4.050338e-01 69 -925 90 165 23 -23 8 -7.421499e-01 -2.320630e-01 -5.935856e-01 2.074040e-01 2.993244
1595876264.214000 1057 -212 -538 906 -279 1016 -2.991297e-01 7.443758e-01 4.702702e-01 3.677934e-01 76 -942 78 173 -21 73 -36 -7.406460e-01 -2.325390e-01 -5.953854e-01 2.070879e-01 2.961391
1595876264.268000 1057 -212 -538 906 -279 1016 -2.991297e-01 7.443758e-01 4.702702e-01 3.677934e-01 69 -942 78 173 -21 73 -36 -7.406460e-01 -2.325390e-01 -5.953854e-01 2.070879e-01 2.917277
1595876264.314000 1013 -136 -489 1333 931 1206 -3.893458e-01 7.333421e-01 4.325589e-01 3.514427e-01 81 -970 89 211 -68 28 -100 -7.380392e-01 -2.304504e-01 -5.987681e-01 2.089677e-01 2.878331
1595876264.368000 1013 -136 -489 1333 931 1206 -3.893458e-01 7.333421e-01 4.325589e-01 3.514427e-01 72 -970 89 211 -68 28 -100 -7.380392e-01 -2.304504e-01 -5.987681e-01 2.089677e-01 2.822485
1595876264.414000 799 -146 -356 417 824 1035 -4.681434e-01 7.193661e-01 3.791534e-01 3.458279e-01 68 -949 106 165 60 -157 125 -7.420342e-01 -2.309582e-01 -5.933953e-01 2.095845e-01 2.806476
